name,review
Sakshi Dudani,"A great place to chill, hangout with Friends, family & colleagues. All fancy stores & utility Stores. Chill game zone & a huge variety for food. Overall a great place to hangout & spend your weekend."
Hemant Desai,"The sprawling shopping mall in Thane is a premier destination, offering an unparalleled retail experience. It houses a diverse array of brands and attractions, catering to a wide range of interests and age groups. The mall features a multiplex for movie enthusiasts, a vast selection of clothing and personal products from renowned retail brands, grocery shopping outlets and toy stores for kids. Additionally, it boasts a Big Fun zone arcade for kids and a variety of restaurants and bars, offering something for every taste and preference. A convenient food court is also available, providing diverse dining options. This vibrant shopping mall is a one-stop destination for entertainment, leisure, and retail therapy, making it an ideal spot for families, shoppers, and foodies alike."
N S,"Good place to chill, but too crowded on weekends."
Dilip Bilurkar,"A nice Mall in the midst of Thane city. I visited this Mall after nearly 20 years. I could see lot of changes , the foot fall seem to have increased a lot even on non- weekend days. It was quite busy Mall. After some shopping had a sumptuous food at the food court which was quite satisfying. Spent almost over an hour there, however will have to visit couple of times more to explore the new Viviana!"
Anand,"Excellent mall. I have been to malls around the world and this mall could be rated as one of the top ones. Spacious, luxurious and fashionable. Sheer variety of stores is amazing. The food court is also expansive. You can easily spend few hours in this mall."
Techie Baba,"One of the biggest mall in Thane. Uou can find all big brands here and food franchisees.

At PVR you can watch your favorite movies.

Parking is well organized and have lot of space. They also have special parking for women.

Mall has arcade section where you can play many games like video games and bowling.

Best place for family for holidays and weekends to spend time together."
Manoj Bhardwaj,Great place for shopping and visiting the cinema. There are rides for children to go on. Also variety of shops and food places to visit. A good place to walk around and enjoy the atmosphere.
Rohit Pawar,"Mall is pretty huge with many branded stores  , located at thane. Mainly crowded during weekends. Reaching here with public transport from the station is not a problem. While going also rickshaw lines are well organised.
During weekends these queues might be much longer than usual."
Madhura Khadpe,We frequently visit Viviana Mall. It is biggest mall in Thane. It has multiple food joints and clothing brands. Good for spending time with family
T.VIGNESH NAYAK,"Best mall in Thane lot options( clothing, dining, shopping etc ) and there is a lot of variety. I really enjoyed the place and parking options are available."
DR SAVITA SALIAN,"Very huge mall, spacious & great ambience. Lovely staff too...!"
J Thomas,This mall used to have good service and facilities. Now it going from bad to worst. Each day they are removing the benefits and services they used to give earlier. They also do not appreciate any comments or complaints from customers. Acting on it is beyond limit. Very very bad attitude of the customer services.
Ratish Rao,"Pretty decent location to chill with friends on weekdays, the weekends get insanely crowded. There are 2 Arcane areas on each corner of the mall on the top most floor and the newer one is much better with pricing and quality. Theater seems poorly maintained with overpriced food (air conditioner wasnt even working the day I visited). Its a clean mall with lots of stores to visit n check out."
