,Unnamed: 0,name,reviews,sentiment,feedback1,feedback2,feedback3,pos_keywords,neg_keywords
18,18,Chandan Haria,"We went to the food court n there one big wooden table had so many baby cockroaches, very unhygenic.",NEGATIVE,The customer saw many baby cockroaches on a wooden table.,The food court had poor hygiene standards.,The wooden table was infested with cockroaches.,,"['court poor hygiene', 'poor hygiene standards', 'food court poor', 'poor hygiene', 'court poor']"
19,19,Rahul Tole,Very Good,POSITIVE,The reviewer gives a very good rating.,The reviewer is pleased with the outcome.,The reviewer is satisfied with the result.,"['reviewer gives good', 'gives good rating', 'good rating', 'gives good', 'reviewer pleased outcome']",
20,20,Jal Ande,Best place for foodies,POSITIVE,The restaurant offers a variety of dishes.,The chef is very skilled and creative.,The atmosphere is cozy and inviting.,"['restaurant offers variety', 'offers variety dishes', 'restaurant offers', 'offers variety', 'chef skilled creative']",
21,21,Khan Farhan,Traffic issues only,NEGATIVE,The customer experienced traffic issues.,The traffic was a major problem.,The customer was frustrated with the traffic.,,"['customer frustrated traffic', 'customer frustrated', 'frustrated traffic']"
22,22,Sonam Sable,Love the atmosphere,POSITIVE,The restaurant has a lovely atmosphere.,The ambiance is very pleasant.,The decor is well-designed.,"['restaurant lovely atmosphere', 'restaurant lovely', 'lovely atmosphere', 'ambiance pleasant']",
23,23,Navdeep Jaiswal,Best for game zone,NEUTRAL,The game zone is best for.,The game zone is suitable for.,The game zone is recommended for.,,
24,24,Sanjit Sinha,Nice mall,POSITIVE,The mall is nice.,,,['mall nice'],
25,25,sagar ghorpade,Good place,POSITIVE,The reviewer considers this a good place.,The reviewer has a positive opinion about this place.,The reviewer thinks this is a good location.,"['reviewer considers good', 'considers good place', 'good place', 'considers good', 'reviewer positive opinion']",
26,26,Diwakar Paswan,OEM,NEUTRAL,The Misal product is a good option.,The customer likes the Misal product.,The Misal product is a reliable choice.,,
27,27,Sana Shaikh,"Great place since my childhood Korum Mall exists... Even my kid had enjoyed the multiple paid rides, Timezone games, Food court... Everything is good",POSITIVE,The Korum Mall has been a great place since childhood.,The customers enjoyed multiple paid rides at the mall.,The food court at Korum Mall offers a variety of options.,"['korum mall great', 'mall great place', 'mall great', 'great place childhood', 'great place']",
28,28,Deveshh,The shittiest parking to make entry. Broken Pathways.,NEGATIVE,The customer experienced poor parking.,The customer encountered broken pathways.,The customer had a terrible time entering.,,"['poor parking', 'customer encountered broken', 'encountered broken pathways', 'broken pathways', 'encountered broken']"
29,29,Nishant Dexter,"This is a decent mall, albeit a little crowded. The food court is good, and so are the restaurants and diners on the fourth floor only accessible by lift. There are plenty of stores to shop from, and they host events from time to time.",POSITIVE,"The mall is decent, albeit a little crowded.","The food court is good, and so are the restaurants.",They host events from time to time.,"['mall decent', 'mall decent albeit', 'decent albeit', 'food court good', 'court good restaurants']",
30,30,Vikas Maurya,Zudio,NEUTRAL,The Zudio is a unique product.,The Zudio has a simple design.,The Zudio is a good value for the price.,,
