name,review,sentiment,feedback1,feedback2,feedback3,positive_kws,negative_kws
Hemant Desai,"This cozy mall packs a punch despite its compact size, offering a diverse range of options for entertainment, dining, and shopping. With a variety of restaurants, resto bars, and food joints in the food court, there's something for everyone. Kids can have a blast in the fun zone, while movie buffs can enjoy the latest releases at the Inox multiplex cinema, one of Thane's better options.",positive,the customer enjoyed a diverse range of options.,There are multiple restaurants and entertainment choices.,Kids can enjoy activities in the fun zone.,"['diverse stores', 'good food', 'fun atmosphere', 'quality cinema', nan]",
Nishant Dexter,"This is a decent mall, albeit a little crowded. The food court is good, and so are the restaurants and diners on the fourth floor only accessible by lift. There are plenty of stores to shop from, and they host events from time to time.",positive,the customer found the mall decent.,It was a bit crowded.,The food court and restaurants were good.,"['decent mall', 'crowded space', 'good food court', 'accessible lifts', 'plenty of shops']",
Mohammad Kamran Arvi,Decent mall with good ambience & facilities. Good brands as well,positive,the customer found the mall decent.,It had good ambience and facilities.,There were good brands available.,"['nice ambiance', 'good facilities', 'quality brands', nan, nan]",
Rajendra Waghoskar,"I have some fond memories with this mall when Viviana didn't exist. I have spent very good time hanging out here with my friends. Visited again few days back and found it still amazing. Over the period of time, it became smaller compared to other malls like Viviana, R city, Phoenix Market city but still it won't let you down. It is still one stop solution for all requirements which we expect from a mall. Shopping, Fun, Food, Movies, everything is there..
One more thing, because of Viviana, its become slightly less crowded and so the best option for hangout.",positive,the customer enjoyed revisiting the mall.,It remains a great one-stop solution.,The mall has become slightly less crowded due to Viviana.,"['fond memories', 'good time', 'amazing experience', 'smaller mall', 'one-stop solution']",
Kami Dal Bahadur,"Another of Thane's greatest malls, located on the Eastern Express Highway, it is immediately visible from the main road and accessible from all parts of the city. Inside, it has an oval fantastic outlook, is clean, and well-kept.
All of your requirements can be met in one location, cinema,food,clothing,optics,all leading brands,basement parking, the initial parking fee for a car is 30 rupees.",positive,the customer found the mall impressive.,It offers a variety of shops and services.,Parking facilities are available.,"['large selection', 'clean environment', 'good facilities', 'adequate parking', nan]",
Om Shah,Nice mall enjoyed a lot,positive,the customer enjoyed their time at the mall.,It was nice.,,"['pleasant shopping', 'enjoyable experience', 'good atmosphere', nan, nan]",
a m,Visited on a weekday at lunch time. The place was dead as a dodo with no crowds. The mall is smaller than Viviana mall but cool place to hangout with so many shops. It would be helpful if there is a map showing location of the shops at the entry.,positive,the customer visited during a quiet time.,The mall had few visitors.,A shop map would be useful.,"['empty during lunch', 'smaller mall', 'cool shopping', 'map needed', nan]",
Sur,"A good place to hang out and do some casual shopping. One interesting thing is that there's always some activity going on, which keeps the crowd engaged. It's lively and never feels dull.",positive,the customer enjoyed hanging out at the mall.,There are always activities keeping the crowd engaged.,It never feels dull.,"['casual shopping', 'active crowds', 'lively atmosphere', nan, nan]",
Casey Degamwala,"It's a fairly good place for shopping branded products, it also has many good restaurants for vegetarian and non vegetarian foods. Since another mall in the vicinity,  the footfalls are divided among the two, so less crowded .",positive,the customer found the mall good for shopping branded products.,It also has many good restaurants for both vegetarian and non-vegetarian foods.,Less crowded due to proximity to another mall.,"['good shopping', 'many restaurants', 'vegetarian options', 'crowded mall', nan]",
A,"Overall mall is very good... Well maintained...  You will always find some activity or promotions in the mall... Many good brands have presence in the mall... Barbeque nation, pizza hut, Urban Tadka, KFC and many more options were available... Timezone for kids...",positive,the customer found the mall overall good.,It was well maintained.,Many good brands were present.,"['good maintenance', 'many options', 'promotions', 'good brands', nan]",
Sana Shaikh,"Great place since my childhood Korum Mall exists... Even my kid had enjoyed the multiple paid rides, Timezone games, Food court... Everything is good",positive,the customer has fond memories of Korum Mall.,The mall offers enjoyable activities for kids.,Everything at the mall is good.,"['long history', 'child-friendly', 'entertainment options', 'good food', nan]",
Ravikant Sawant,"Food court area air conditioning system not on even ventilation system also not proper too much food stinking in the morning 11-12 am.
Mall cleaning or house keeping not proper
Facility team should be taken care properly",negative,the customer found the mall's air conditioning insufficient.,There was poor ventilation in the food court area.,Food smelled strongly in the morning.,,"['poor AC', 'stinky food', 'dirty mall', 'inadequate cleaning', nan]"
Kanchan Salunkhe,"Never visit this mall ever, all staff members in food court section are tremendously worst as well as they have zero manners how to behave with customers very rude
They Don't even let us to have our food peacefully
I will suggest rather visit viviana or any places upto you but never ever go to this shitty place",negative,the customer strongly advises against visiting the mall.,Staff were rude and unprofessional.,Food service was disrupted.,,"['rude staff', 'poor service', 'unfriendly attitude', nan, nan]"
KALPAK DALAL,"One of the best mall in Thane.
Mall is massive and has lots of stores and lots of brands which are Indian and international also, mall has various options to Eat and to play for kids and for elders also.
Ample of parking available.
Mall is well maintained and clean.",positive,the customer found the mall to be one of the best in Thane.,It offers a large variety of stores and brands.,The mall provides multiple entertainment options.,"['large shopping space', 'many stores', 'good parking', 'clean environment', nan]",
Shreyas Hegde,"A good mall to spend your time. The mall is not too big and can be a bit over crowded during some occasions. The mall is clean and has all the basic amenities. You can also take a break and watch a movie at the multiplex (inox). The food court is clean, well maintained and there are a lot of options for a food lover.",positive,the customer found the mall enjoyable.,The mall offers various entertainment options.,The food court provides diverse dining choices.,"['clean mall', 'good amenities', 'nice food court', 'crowded during peak times', nan]",
Sujata Das,"Korum mall in thane west is a great place for shopping and eating out. It has some of the best stores for shopping and amazing food outlets. Bata, global Desi, Peter England, Barbecue Nation, Madeira and mime, pizza hut, samsung, reliance digital etc. Family and friends too can have fun here be it gaming zone or cinemas. Parking is available. It's normally crowded on weekends.",positive,the customer enjoyed shopping at Korum Mall.,It offers various dining options.,Parking facilities are available.,"['great shopping', 'amazing food', 'fun entertainment', 'good parking', nan]",
Salil D. Pol,This mall has most of the important shops and is well managed. It is a bit overshadowed by Viviana but that makes it slightly less crowded and hence the shoping experience is much more relaxing here. The washrooms are clean and usable. The rikshaws are always available outside the mall.,positive,the customer found the mall convenient.,It offers a good shopping experience.,The washrooms were clean.,"['variety of stores', 'well managed', 'clean bathrooms', 'available transportation', nan]",
Chintan Chande,"Good mall, with moderate option of shopping, with westside, fab india and couple of more big brand store good play area for childrens, good food options from Mac Donald and haldiram, food court is good, every time I ivist feel like isolated place does not give mall like feel its like some random shopping centre feel more then mall. Toilets are not that maintain.",positive,the customer enjoyed a good shopping experience.,The mall offers various stores and food options.,Toilets need improvement.,"['moderate shopping', 'big brands', 'good food', 'isolation', 'poor toilets']",
Ashish S,One of the finest malls of the city which not only provided the one stop solution for branded shopping under a single roof but also a place to hangout and catch up with near and dear ones. Good variety of restaurants and a decent food court which offers good option of food. The Inox is also good multiplex and also well maintained.,positive,the customer enjoyed a great shopping mall experience.,It offered a wide range of shops and dining options.,The Inox multiplex was well-maintained.,"['excellent mall', 'wide variety', 'good food options', 'nice multiplex', nan]",
