name,review,sentiment,feedback1,feedback2,feedback3,positive_kws,negative_kws
Ajit Inamdar,"Fantastic school, teachers are really nice. Kids are really happy to go to school!",positive,the student attended a fantastic school.,The teachers were very nice.,The children enjoyed going to school.,"['nice teachers', 'happy students', 'positive learning environment', nan, nan]",
sumesh panjwani,Superb nice place for the kids to generate knowledge & self development of mind,positive,the student enjoyed learning at the school.,The environment fostered knowledge and self-development.,,"['quality education', 'mind development', 'knowledge generation', nan, nan]",
AUDA 17,Professional management and friendly staff. The school runs smoothly.,positive,the student found the management professional.,The staff were friendly.,The school operates smoothly.,"['professional management', 'friendly staff', 'smooth operation', nan, nan]",
Hemangi Malde,School is good... Teacher is co operative...,positive,the student found the school good.,The teacher was cooperative.,,"['good school', 'cooperative teachers', nan, nan, nan]",
20228030217 Teacher,"Overall experience is good about teaching, coordination, campus.",positive,"Overall, the student found the experience positive.",The teaching and coordination were good.,The campus environment was satisfactory.,"['good teaching', 'effective coordination', 'nice campus', nan, nan]",
Mugdha Chavan,nice progress of kids and very nice teaching staff,positive,the student observed good progress among children.,The teaching staff were described as very nice.,,"['progressive children', 'excellent teachers', nan, nan, nan]",
Leesha Rajpurohit,Too good and amazing amazing school,positive,the student found the school too good.,The school was amazing.,,"['outstanding school', 'amazing education', 'exceptional teachers', nan, nan]",
Kunda Ghagare,Good staff and friendly environment,positive,the student encountered good staff.,The environment was friendly.,,"['friendly staff', 'good service', 'pleasant atmosphere', nan, nan]",
Tamizharasi P,Good Atmosphere,positive,the student enjoyed the good atmosphere.,,,"['good atmosphere', nan, nan, nan, nan]",
Pallavi Rane,Good environment,positive,the student found the environment good.,,,"['good environment', nan, nan, nan, nan]",
Shivani Rawat,"Awesome school , management with best infrastructure and facilities",positive,the student attended an awesome school.,The school has excellent infrastructure and facilities.,,"['excellent management', 'best infrastructure', 'facilities', nan, nan]",
